Subject,Credit,Section,Grade,Term,Number_id
010123101 INTRODUCTION TO COMPUTER,1,1,B,1,5801012630106
010123102 PROGRAMMING FUNDAMENTALS,3,1,C+,1,5801012630106
040203111 ENGINEERING MATHEMATICS I,3,5,B,1,5801012630106
040313005 PHYSICS I,3,4,B+,1,5801012630106
040313006 PHYSICS LABORATORY I,1,4,A,1,5801012630106
080103001 ENGLISH I,3,9,A,1,5801012630106
080203901 MAN AND SOCIETY,3,1,A,1,5801012630106
080303505 TABLE TENNIS,1,1,B+,1,5801012630106
010113101 ELECTRIC CIRCUIT THEORY,3,4,D+,2,5801012630106
010113011 ELECTRIC CIRCUIT LAB,1,3,C,2,5801012630106
010123103 ALGORITHMS AND DATA STRUCTURE,3,1,B+,2,5801012630106
040203112 ENGINEERING MATHEMATICS II,3,5,B,2,5801012630106
040313007 PHYSICS II,3,5,B,2,5801012630106
040313008 PHYSICS LABORATORY II,1,6,A,2,5801012630106
080103002 ENGLISH II,3,76,A,2,5801012630106
080303501 BASKETBALL,1,2,B,2,5801012630106
010123104 DISCRETE MATHEMATICS,3,1,A,3,5801012630106
010123105 STATISTICS FOR COMPUTER ENGINEERS,3,1,A,3,5801012630106
010123106 INTRODUCTION TO SIGNALS AND SYSTEMS,3,1,B,3,5801012630106
010123107 LOGIC DESIGN OF DIGITAL SYSTEM,3,1,D,3,5801012630106
010123108 DIGITAL SYSTEM DESIGN LABORATORY,1,1,D+,3,5801012630106
010123109 BUILDING SOFTWARE SYSTEMS I,3,3,B,3,5801012630106
040503001 STATISTICS IN EVERYDAY LIFE,3,10,A,3,5801012630106
010123110 BUILDING SOFTWARE SYSTEMS II,3,1,C,4,5801012630106
010123111 HIGH LEVEL DESIGN FOR DIGITAL SYSTEM,3,1,B,4,5801012630106
010123112 COMPUTER ORGANIZATION,3,1,C+,4,5801012630106
010123113 DATA COMMUNICATIONS,3,1,B,4,5801012630106
010123114 ANALOG AND DIGITAL ELECTRONICS,3,1,C+,4,5801012630106
040203100 GENERAL MATHEMATICS,3,2,A,4,5801012630106
010123115 ANALOG AND DIGITAL ELECTRONICS LABORATORY,1,1,C,5,5801012630106
010123116 SOFTWARE ENGINEERING,3,1,A,5,5801012630106
010123117 OPERATING SYSTEMS,3,1,C+,5,5801012630106
010123118 COMPUTER NETWORKS,3,1,B+,5,5801012630106
010123119 EMBEDDED SYSTEM DESIGN,3,1,C+,5,5801012630106
040313017 EXERCISE SKILL AND SPORT,3,2,A,5,5801012630106
080103016 ENGLISH CONVERSATION I,3,4,A,5,5801012630106
